fr_Subject,fr_Predicate,fr_Object,Triple_ID,fr_Subject_concept,fr_Predicate_concept,fr_Object_concept
-,traite sur,sur l'union europeenne,directive_2010_64_eu_en.txt,-,-,-
au-dela de quoi,aller au-dela,atteindre l'objectif,directive_2010_64_eu_en.txt,-,allergie,-
Etats membres,notifie,de directive,directive_2010_64_eu_en.txt,-,-,directive
Danemark,prise,son application,directive_2010_64_eu_en.txt,-,-,-
32 directive,ensemble,regles minimales,directive_2010_64_eu_en.txt,directive,-,-
Etats membres,etre capable,dans la directive,directive_2010_64_eu_en.txt,-,-,directive
niveau,tomber en dessous,de l'union europeenne,directive_2010_64_eu_en.txt,-,-,-
ce,Inter,de l'union europeenne,directive_2010_64_eu_en.txt,-,interet,-
syndicat,adopter,1 jo c,directive_2010_64_eu_en.txt,syndicat,-,-
-,article,-,directive_2010_64_eu_en.txt,-,-,-
directif,pose,mandat d'arret europeen,directive_2010_64_eu_en.txt,directive,-,mandat:mandat darret europeen
ils,postuler a,d'appel,directive_2010_64_eu_en.txt,-,-,-
il,affecter nationale,procedure penale,directive_2010_64_eu_en.txt,-,nationalisme:nationalite,procedure penale:procedure speciale
OMS,assurer,lors des interrogatoires de police,directive_2010_64_eu_en.txt,-,-,police
pretation,assurer,d'appel,directive_2010_64_eu_en.txt,-,-,-
procedure qui,je,.,directive_2010_64_eu_en.txt,-,-,-
personnes soupconnees d'assurer,etre de,de defense,directive_2010_64_eu_en.txt,personnel,-,depense
assurer essentiel qu'ils,assurer,de la procedure,directive_2010_64_eu_en.txt,-,-,-
documents essentiels,inclure,sa liberte,directive_2010_64_eu_en.txt,document,-,-
droite,comprend approprie,troubles auditifs,directive_2010_64_eu_en.txt,-,-,audit
se plaindre de la qualite,assurer,de la procedure,directive_2010_64_eu_en.txt,plaine,-,-
presence physique,utilise,de la procedure,directive_2010_64_eu_en.txt,-,-,-
autorites competentes,assurer,tel 3,directive_2010_64_eu_en.txt,-,-,-
autre document,decider,cas donne,directive_2010_64_eu_en.txt,document:documentation,-,-
personnes suspectes,soumettre,effectuer,directive_2010_64_eu_en.txt,personnel,-,-
qui,etre,contre eux,directive_2010_64_eu_en.txt,-,-,-
il,.,de l'union europeenne,directive_2010_64_eu_en.txt,-,-,-
traduction orale,fourni,de la procedure,directive_2010_64_eu_en.txt,traduction,four,-
renoncer,faire l'objet,de renonciation,directive_2010_64_eu_en.txt,-,-,-
Etats membres,rencontrer,de la procedure,directive_2010_64_eu_en.txt,-,-,-
assurer l'interpretation,article,sous l'article,directive_2010_64_eu_en.txt,interpretation,-,-
OMS,effort,traducteurs independants,directive_2010_64_eu_en.txt,-,-,-
tel registre,mise a disposition,conseiller juridique,directive_2010_64_eu_en.txt,-,-,conseiller juridique
interpretes,assurer,sous directive,directive_2010_64_eu_en.txt,interet,-,directive
Etats membres,demande,communication efficace,directive_2010_64_eu_en.txt,-,-,telecommunication
2 Etats membres,transmettre,commissionner,directive_2010_64_eu_en.txt,-,-,commissionnaire
ils,contenir,publication officielle,directive_2010_64_eu_en.txt,-,conteneur,publication
methodes,pose,Etats membres,directive_2010_64_eu_en.txt,-,-,-
Etats membres,soumettre,propositions legislatives,directive_2010_64_eu_en.txt,-,-,-
directif,entrer dans,de l'union europeenne,directive_2010_64_eu_en.txt,directive,-,-
Article 280/7,-,Directive 12 destinataires,directive_2010_64_eu_en.txt,-,-,directive:directive CE
-,adressee a,avec des traites,directive_2010_64_eu_en.txt,-,-,-
-,fait a,a strasbourg,directive_2010_64_eu_en.txt,-,-,-
-,president pour,pour le conseil,directive_2010_64_eu_en.txt,-,-,-
fr journal officiel,directives,droits individuels,directive_2012_13_eu_en.txt,journal:journal officiel,directive,-
Etats membres,presuppose,systemes de justice penale,directive_2012_13_eu_en.txt,-,-,-
qui,est,reconnaissance mutuelle,directive_2012_13_eu_en.txt,-,-,-
regle aussi,fonctionner,regles,directive_2012_13_eu_en.txt,-,fonctionnaire,-
-,article,des droits de l'homme,directive_2012_13_eu_en.txt,-,-,droits de lhomme
-,enchasser,proces equitable,directive_2012_13_eu_en.txt,-,-,-
article,garanties,de defense,directive_2012_13_eu_en.txt,-,garantie,depense
conseil de 2000,adopte,affaires criminelles,directive_2012_13_eu_en.txt,-,-,-
article sur la reconnaissance mutuelle,Etats,de personne,directive_2012_13_eu_en.txt,-,-,personnel
restrictions,depasser,des droits de l'homme,directive_2012_13_eu_en.txt,-,-,droits de lhomme
ce,montre,autres Etats membres,directive_2012_13_eu_en.txt,-,-,-
-,c,-,directive_2012_13_eu_en.txt,-,-,-
-,position de,26 avril,directive_2012_13_eu_en.txt,-,position dominante,-
8) renforcement,necessite des details,echr,directive_2012_13_eu_en.txt,-,-,-
2 union,ensemble,de liberte,directive_2012_13_eu_en.txt,-,-,-
du traite,devenir,cote de bordure,directive_2012_13_eu_en.txt,-,-,comte
regles minimales,fait reference a,dans lequel,directive_2012_13_eu_en.txt,-,refere,-
qui,mener a,confiance mutuelle,directive_2012_13_eu_en.txt,-,-,-
regles minimales communes,etablir,procedure penale,directive_2012_13_eu_en.txt,commune:communisme,-,procedure penale:procedure speciale
conseil de 2009,.,ci-apres feuille de route,directive_2012_13_eu_en.txt,-,-,-
accuse qui,appeler pour,pour les suspects de mesure,directive_2012_13_eu_en.txt,accise,-,-
donc indicatif,souligne,avec des priorites,directive_2012_13_eu_en.txt,don,-,-
ses avantages,ressenti pleinement,comme concu ensemble,directive_2012_13_eu_en.txt,-,-,commune
il,accueilli,au service des citoyens,directive_2012_13_eu_en.txt,-,-,service
autres issues,souligne,dans la zone,directive_2012_13_eu_en.txt,-,-,-
premiere mesure,etait,procedure penale,directive_2012_13_eu_en.txt,-,-,procedure penale:procedure speciale
14 directive,se rapporte a,de feuille de route,directive_2012_13_eu_en.txt,directive,rapport,-
applique,pose,parmi les Etats membres,directive_2012_13_eu_en.txt,-,-,-
-,je,-,directive_2012_13_eu_en.txt,-,-,-
directive du 1.6.2012,se contruit sur,des droits de l'homme,directive_2012_13_eu_en.txt,directive:directive CE,contrat,droits de lhomme
accusation a terme,utilise,6(1 chr,directive_2012_13_eu_en.txt,accusation,-,-
il,annonce,en 2010,directive_2012_13_eu_en.txt,-,-,-
16 directive,postuler a,statut legal,directive_2012_13_eu_en.txt,directive,-,legalite
autorite,a,infractions mineures,directive_2012_13_eu_en.txt,autoroute,-,infraction
qui,etre,apres le controle du trafic,directive_2012_13_eu_en.txt,-,-,-
autorite deraisonnable competente,etre deraisonnable,sous directive,directive_2012_13_eu_en.txt,autoroute,-,directive
directif,appliquer,apres appel,directive_2012_13_eu_en.txt,directive,-,-
qui,etabli par,directive explicite,directive_2012_13_eu_en.txt,-,-,directive
qui,informer,pour directive,directive_2012_13_eu_en.txt,-,-,directive
information,fourni,autorite competente,directive_2012_13_eu_en.txt,desinformation:information:infraction,four,autoroute
20 directives,pose,des suspects,directive_2012_13_eu_en.txt,directive,-,-
ce,est sans,tribunaux de l'Union competents,directive_2012_13_eu_en.txt,-,-,-
autorites competentes,requis,de la procedure,directive_2012_13_eu_en.txt,-,-,-
circonstances particulieres,reiterer,loi nationale,directive_2012_13_eu_en.txt,-,-,loi:nationalisme:nationalite
suspects,compris,des droits de l'homme,directive_2012_13_eu_en.txt,-,-,droits de lhomme
informations arretees,donne par,comprendre leurs droits de comprehension,directive_2012_13_eu_en.txt,information:arrete,-,-
lettre,fourni,procedure penale,directive_2012_13_eu_en.txt,-,four,procedure penale:procedure speciale
ce droit,inclure de base,loi nationale,directive_2012_13_eu_en.txt,-,-,loi:nationalisme:nationalite
modele,Fourni dans,a l'annexe,directive_2012_13_eu_en.txt,-,four,-
egalement les mesures de la feuille de route,est indicatif,en vigueur,directive_2012_13_eu_en.txt,reglement,-,-
ce,inclure d'autres,dans les Etats membres,directive_2012_13_eu_en.txt,-,-,-
-,23,-,directive_2012_13_eu_en.txt,-,-,-
ils,donne,enquetes en cours,directive_2012_13_eu_en.txt,-,-,-
quand descriptif,donne en quantite suffisante,de defense,directive_2012_13_eu_en.txt,-,-,depense
affecte cela,communique a,de defense,directive_2012_13_eu_en.txt,-,commune,depense
autorite judiciaire,mise a disposition,d'arrestation,directive_2012_13_eu_en.txt,autoroute,-,arrestation
qui,inclure,en tant que documents,directive_2012_13_eu_en.txt,-,-,document
de tels materiaux,contenu dans,loi nationale,directive_2012_13_eu_en.txt,-,conteneur,loi:nationalisme:nationalite
ou le refus,refuse,interet public necessaire,directive_2012_13_eu_en.txt,-,-,interet:publicite
refus,pese contre,procedure penale,directive_2012_13_eu_en.txt,-,-,procedure penale:procedure speciale
avoir personne,sont,loi nationale,directive_2012_13_eu_en.txt,personnel,-,loi:nationalisme:nationalite
exercer,prejudice,procedure penale,directive_2012_13_eu_en.txt,-,-,procedure penale:procedure speciale
24 directives,est sans,dans les centres de detention,directive_2012_13_eu_en.txt,directive,-,-
ils,assurer,/ UE,directive_2012_13_eu_en.txt,-,-,-
OMS,payer en particulier,de leur jeunesse,directive_2012_13_eu_en.txt,-,-,jeune
27 personnes,donne,entre les Etats membres,directive_2012_13_eu_en.txt,personnel,-,-
-,avec,des droits de l'homme,directive_2012_13_eu_en.txt,-,-,droits de lhomme
33 a droite,etre sans,temoins proteges,directive_2012_13_eu_en.txt,-,-,-
documents payants,fourni gratuitement,leur avocat,directive_2012_13_eu_en.txt,document,four,avocat
autorites competentes,prendre,fardeau administratif,directive_2012_13_eu_en.txt,-,-,-
36 suspects,ont,avec directives,directive_2012_13_eu_en.txt,-,-,directive
un tel echec,entrainer,en plainte qui,directive_2012_13_eu_en.txt,-,-,plaine:plant:platine
Etats membres,fournir,dans les Etats membres,directive_2012_13_eu_en.txt,-,fournisseur,-
38 Etats membres,entreprendre,avec directives,directive_2012_13_eu_en.txt,-,entrepreneur,directive
mise en oeuvre pratique,atteint par differents,droit procedural,directive_2012_13_eu_en.txt,-,-,droit rural
39 a droite,ensembles,directives regles minimales,directive_2012_13_eu_en.txt,-,-,directive
Etats membres,etendre,dans la directive,directive_2012_13_eu_en.txt,-,-,directive
niveau,tomber en dessous,des droits de l'homme,directive_2012_13_eu_en.txt,-,-,droits de lhomme
41 directive,respecte les fondamentaux,charte reconnue,directive_2012_13_eu_en.txt,directive,-,-
directive particuliere,cherche,de defense,directive_2012_13_eu_en.txt,directive,-,depense
il,mis en oeuvre,-,directive_2012_13_eu_en.txt,-,mais,-
ce,interprete,des droits de l'homme,directive_2012_13_eu_en.txt,-,interet,droits de lhomme
syndicat,adopter,sur l'union europeenne,directive_2012_13_eu_en.txt,syndicat,-,-
au-dela de quoi,aller au-dela,atteindre l'objectif,directive_2012_13_eu_en.txt,-,allergie,-
Etats membres,notifie,de directive,directive_2012_13_eu_en.txt,-,-,directive
Danemark,prise,son application,directive_2012_13_eu_en.txt,-,-,-
1.6.2012 journal officiel,adopte,directif,directive_2012_13_eu_en.txt,journal:journal officiel,-,directive
directif,pose,contre eux,directive_2012_13_eu_en.txt,directive,-,-
il,pose,leurs droits,directive_2012_13_eu_en.txt,-,-,-
personne suspecte,s'applique a partir de,d'appel,directive_2012_13_eu_en.txt,personnel:personne seule,-,-
-,je,des droits,directive_2012_13_eu_en.txt,-,-,-
qu'ils,donne,de liberte,directive_2012_13_eu_en.txt,-,-,-
suspects,contenir,autorite judiciaire,directive_2012_13_eu_en.txt,-,conteneur,autoroute
lettre,contenir de base,liberation provisoire,directive_2012_13_eu_en.txt,-,conteneur,-
lettre,redige en simple,langage simplifie,directive_2012_13_eu_en.txt,-,-,langage
modele de lettre indicative,ensemble,sur les droits,directive_2012_13_eu_en.txt,-,-,-
autoriser les droits,assurer,a l'interpretation,directive_2012_13_eu_en.txt,-,-,interpretation
information,assurer,suspects vulnerables,directive_2012_13_eu_en.txt,desinformation:information:infraction,-,-
accuse qui,assurer,a l'arrestation,directive_2012_13_eu_en.txt,accise,-,arrestation
ils,assurer,ce,directive_2012_13_eu_en.txt,-,-,-
ils,informe de,ce,directive_2012_13_eu_en.txt,-,-,-
ils,donne,retard injustifie,directive_2012_13_eu_en.txt,-,-,-
-,lettre de,procedure de mandat d'arret europeen,directive_2012_13_eu_en.txt,-,-,mandat:procedure civile:procedure penale:mandat darret europeen
OMS,assurer,Etat membre d'execution,directive_2012_13_eu_en.txt,-,-,-
. lettre,redige en simple,langage simplifie,directive_2012_13_eu_en.txt,-,-,langage
modele de lettre indicative,ensemble,a l'annexe,directive_2012_13_eu_en.txt,-,-,-
ils,assurer,acte criminel,directive_2012_13_eu_en.txt,-,-,criminalite
information,fourni,de defense,directive_2012_13_eu_en.txt,desinformation:information:infraction,four,depense
-,-,de l'union europeenne,directive_2012_13_eu_en.txt,-,-,-
des informations detaillees,assurer,personne accusee,directive_2012_13_eu_en.txt,information,-,personnel:personne agee:personne seule
ou ce,assurer,de la procedure,directive_2012_13_eu_en.txt,-,-,-
-,article,de cas,directive_2012_13_eu_en.txt,-,-,-
qui,assurer,leurs avocats,directive_2012_13_eu_en.txt,-,-,avocat
acces,assurer,la defense,directive_2012_13_eu_en.txt,-,-,depense
1 acces,accorde en temps voulu,de cour,directive_2012_13_eu_en.txt,-,-,-
permettez-ceci,accorde,le temps imparti,directive_2012_13_eu_en.txt,-,-,-
procedure penale,refuse,dans lequel,directive_2012_13_eu_en.txt,procedure penale:procedure speciale,-,-
decision,assurer,examen judiciaire du sujet,directive_2012_13_eu_en.txt,decision,-,examen
5 acces,fourni gratuitement,frais,directive_2012_13_eu_en.txt,-,four,-
ce,assurer,de l'Etat membre,directive_2012_13_eu_en.txt,-,-,-
suspects,article,avec directives,directive_2012_13_eu_en.txt,-,-,directive
Etats membres,demande,de directive,directive_2012_13_eu_en.txt,-,-,directive
qui,interprete comme,de protection,directive_2012_13_eu_en.txt,-,interet:commune,protectionnisme
1 Etats membres,.,2 juin,directive_2012_13_eu_en.txt,-,-,-
2 Etats membres,transmettre,commissionner,directive_2012_13_eu_en.txt,-,-,commissionnaire
ils,contenir,publication officielle,directive_2012_13_eu_en.txt,-,conteneur,publication
methodes,pose,Etats membres,directive_2012_13_eu_en.txt,-,-,-
Etats membres,soumettre,propositions legislatives,directive_2012_13_eu_en.txt,-,-,-
directif,entrer dans,de l'union europeenne,directive_2012_13_eu_en.txt,directive,-,-
Article 142/7,-,de l'union europeenne,directive_2012_13_eu_en.txt,-,-,-
directif,adressee a,avec des traites,directive_2012_13_eu_en.txt,directive,-,-
-,fait a,a strasbourg,directive_2012_13_eu_en.txt,-,-,-
-,president,pour le parlement europeen,directive_2012_13_eu_en.txt,-,-,parlement:parlementaire:Parlement europeen:parlementaire europeen
-,president,-,directive_2012_13_eu_en.txt,-,-,-
-,-,des droits de modele,directive_2012_13_eu_en.txt,-,-,droits de lhomme
seul but,est,niveau national,directive_2012_13_eu_en.txt,sel,-,nationalisme:nationalite
Etats membres,bondir,pas modele,directive_2012_13_eu_en.txt,-,-,-
Etats membres,modifier,informations utiles,directive_2012_13_eu_en.txt,-,-,information
lettre aux Etats membres,donne sur,lors de l'arrestation,directive_2012_13_eu_en.txt,-,-,arrestation
ce,prevenir,procedure penale,directive_2012_13_eu_en.txt,-,-,procedure penale:procedure speciale
toi,ont,a l'avocat,directive_2012_13_eu_en.txt,-,-,-
avocat,est independant,independant de la police independante,directive_2012_13_eu_en.txt,avocat,-,police
police,aider,toi,directive_2012_13_eu_en.txt,police,-,-
assistance,sois libre,gratuit gratuitement,directive_2012_13_eu_en.txt,-,-,-
-,demander,Plus d'information,directive_2012_13_eu_en.txt,-,-,desinformation:information
vous a arrete,ont,droite,directive_2012_13_eu_en.txt,arrete,-,-
tu es competent,ont,frais,directive_2012_13_eu_en.txt,-,-,-
toi,aider,confidentiel,directive_2012_13_eu_en.txt,-,-,confidentialite
toi,ont,en garde a vue,directive_2012_13_eu_en.txt,-,-,garde a vue
toi,livre avec,traduction orale,directive_2012_13_eu_en.txt,-,-,traduction
tu es competent,ont,infraction alleguee,directive_2012_13_eu_en.txt,-,-,inflation:information:infraction
toi,aider,decider de decider que,directive_2012_13_eu_en.txt,-,-,-
toi,ont,defier l'arrestation,directive_2012_13_eu_en.txt,-,-,arrestation
toi,ont,pour toi,directive_2012_13_eu_en.txt,-,-,-
-,delation,votre consulat,directive_2012_13_eu_en.txt,-,deflation,consulat
veux quelqu'un,dire,Par exemple,directive_2012_13_eu_en.txt,-,-,-
droite,limite,votre detention,directive_2012_13_eu_en.txt,-,-,-
police,informer,de cela,directive_2012_13_eu_en.txt,police,-,-
autorisation consulaire de vouloir,dire,votre detention informee,directive_2012_13_eu_en.txt,-,-,-
toi,dire,autorite consulaire,directive_2012_13_eu_en.txt,-,-,autoroute
vous a arrete,ont,Assistance medicale,directive_2012_13_eu_en.txt,arrete,-,assistance sociale
te connais,laisser,une telle aide,directive_2012_13_eu_en.txt,-,-,acide
-,-,de liberte,directive_2012_13_eu_en.txt,-,-,-
toi,prive de,heures jours,directive_2012_13_eu_en.txt,-,-,-
OMS,libere,nouvelle detention,directive_2012_13_eu_en.txt,-,-,-
-,demander,liberation provisoire,directive_2012_13_eu_en.txt,-,-,-
-,-,du mandat d'arret europeen,directive_2012_13_eu_en.txt,-,-,mandat:mandat darret europeen
toi,arrete le,du mandat d'arret europeen,directive_2012_13_eu_en.txt,-,arrete,mandat:mandat darret europeen
toi,ont,dont,directive_2012_13_eu_en.txt,-,-,don
toi,ont,en langue,directive_2012_13_eu_en.txt,-,-,-
toi,consentement,te chercher,directive_2012_13_eu_en.txt,-,-,-
votre consentement,vitesse,procedure,directive_2012_13_eu_en.txt,-,-,-
il,etre difficile,stade ulterieur,directive_2012_13_eu_en.txt,-,-,-
toi,ont,autorite judiciaire,directive_2012_13_eu_en.txt,-,-,autoroute
approximation necessaire,faciliter,droits individuels,directive_2013_48_eu_en.txt,-,-,-
cooperation judiciaire,base sur,des jugements,directive_2013_48_eu_en.txt,cooperant:cooperative:cooperation judiciaire:cooperation juridique:cooperation militaire,-,jugement
Etats membres,presuppose,systemes de justice penale,directive_2013_48_eu_en.txt,-,-,-
qui,est,reconnaissance mutuelle,directive_2013_48_eu_en.txt,-,-,-
ce,montre,autres Etats membres,directive_2013_48_eu_en.txt,-,-,-
regle aussi,fonctionner,regles,directive_2013_48_eu_en.txt,-,fonctionnaire,-
renforcement,necessite des details,de la charte,directive_2013_48_eu_en.txt,-,-,-
il,a besoin,echr,directive_2013_48_eu_en.txt,-,-,-
2 articles,enchasser,proces equitable,directive_2013_48_eu_en.txt,-,-,-
article,garanties,de defense,directive_2013_48_eu_en.txt,-,garantie,depense
syndicat,ensemble,de liberte,directive_2013_48_eu_en.txt,syndicat,-,-
dont le principe,devenir,reconnaissance mutuelle,directive_2013_48_eu_en.txt,don,-,-
fr journal officiel,prevoit pour,cote de bordure,directive_2013_48_eu_en.txt,journal:journal officiel,-,comte
regles minimales,fait reference a,dans lequel,directive_2013_48_eu_en.txt,-,refere,-
qui,mener a,en union,directive_2013_48_eu_en.txt,-,-,-
regles minimales,retirer,des Etats membres,directive_2013_48_eu_en.txt,-,-,-
tierce personne,etabli en,de liberte,directive_2013_48_eu_en.txt,personnel,-,-
conseil de 2009,adopte,feuille de route,directive_2013_48_eu_en.txt,-,-,-
accuse qui,appels pour,pour les suspects de mesure,directive_2013_48_eu_en.txt,accise,-,-
donc indicatif,souligne,avec des priorites,directive_2013_48_eu_en.txt,don,-,-
ses avantages,ressenti dans,comme concu ensemble,directive_2013_48_eu_en.txt,-,-,commune
il,accueilli,au service des citoyens,directive_2013_48_eu_en.txt,-,-,service
autres issues,souligne,dans la zone,directive_2013_48_eu_en.txt,-,-,-
deux mesures,adopte en vertu,procedure penale,directive_2013_48_eu_en.txt,-,-,procedure penale:procedure speciale
tiers du mandat d'arret,pose,de liberte,directive_2013_48_eu_en.txt,mandat,-,-
qui,favorise,a l'avocat,directive_2013_48_eu_en.txt,-,-,-
necessite un suspect,fournit,assistance legale,directive_2013_48_eu_en.txt,-,-,legalite
avocats,etre capable,de defense,directive_2013_48_eu_en.txt,avocat,-,depense
qui,considere,de directive,directive_2013_48_eu_en.txt,-,-,directive
accuse qui,mis en oeuvre,a l'avocat,directive_2013_48_eu_en.txt,accise,mais,-
OMS,fait reference a,aux suspects,directive_2013_48_eu_en.txt,-,refere,-
autorite,a,infractions mineures,directive_2013_48_eu_en.txt,autoroute,-,infraction
qui,etre,apres le controle du trafic,directive_2013_48_eu_en.txt,-,-,-
les autorites,assurer,sous directive,directive_2013_48_eu_en.txt,-,-,directive
directif,appliquer,apres appel,directive_2013_48_eu_en.txt,directive,-,-
infractions mineures,considere,reglements municipaux,directive_2013_48_eu_en.txt,infraction,-,reglement
autorites deraisonnables competentes,etre deraisonnable,sous directive,directive_2013_48_eu_en.txt,-,-,directive
directif,appliquer,affaires criminelles,directive_2013_48_eu_en.txt,directive,-,-
18 portee,affecter,de l'avocat,directive_2013_48_eu_en.txt,-,-,-
suspects,assurer,avec directives,directive_2013_48_eu_en.txt,-,-,directive
ils,accorde,droit renonce,directive_2013_48_eu_en.txt,-,-,renne
personne suspecte,inclure preliminaire,controles aleatoires,directive_2013_48_eu_en.txt,personnel:personne seule,-,-
personne suspecte,protege contre,des droits de l'homme,directive_2013_48_eu_en.txt,personnel:personne seule,-,droits de lhomme
ou personne,rend express,procedure penale,directive_2013_48_eu_en.txt,personnel,-,procedure penale:procedure speciale
294/3 interrogatoire,suspendu,personne suspecte,directive_2013_48_eu_en.txt,-,-,personnel:personne seule
il,a continue,dans la directive,directive_2013_48_eu_en.txt,-,-,directive
22 suspects,ont,les representer,directive_2013_48_eu_en.txt,-,-,-
Etats membres,rendre pratique,de cas,directive_2013_48_eu_en.txt,-,-,-
ou rencontre,rendre pratique,en place,directive_2013_48_eu_en.txt,-,-,-
dispositions pratiques,prejudice,leur avocat,directive_2013_48_eu_en.txt,-,-,avocat
23 suspects,ont,les representer,directive_2013_48_eu_en.txt,-,-,-
une telle communication,prendre,rencontrer un avocat,directive_2013_48_eu_en.txt,telecommunication,-,avocat
ces communications communications,rendre pratique,prend place,directive_2013_48_eu_en.txt,-,-,-
directif,prevenir,par telephone,directive_2013_48_eu_en.txt,directive,-,telephone
personne suspecte,limite a,autorite chargee de l'application de la loi,directive_2013_48_eu_en.txt,personnel:personne seule,-,autoroute:chargement:loi
"lorsqu'ils sont presents, ils",assurer,lors des audiences du tribunal,directive_2013_48_eu_en.txt,-,-,-
de telles procedures,etre dans,de droit,directive_2013_48_eu_en.txt,-,-,-
personne suspecte,organiser,a partir duquel,directive_2013_48_eu_en.txt,personnel:personne seule,-,-
de telles dispositions,inclure,l'aide juridique,directive_2013_48_eu_en.txt,-,-,-
qui,.,loi nationale,directive_2013_48_eu_en.txt,-,-,loi:nationalisme:nationalite
-,26,-,directive_2013_48_eu_en.txt,-,-,-
pour l'instant suspects,ont,loi nationale,directive_2013_48_eu_en.txt,-,-,loi:nationalisme:nationalite
crime,inclure,personne suspecte,directive_2013_48_eu_en.txt,-,-,personnel:personne seule
Etats membres,rendre pratique,actes de preuve,directive_2013_48_eu_en.txt,-,-,preuve
dispositions pratiques,prejudice,des droits,directive_2013_48_eu_en.txt,-,-,-
ce,indique,de l'Etat membre,directive_2013_48_eu_en.txt,-,-,-
ce,effort,par des suspects,directive_2013_48_eu_en.txt,-,-,-
ils,besoin,avocat arrange,directive_2013_48_eu_en.txt,-,-,avocat
suspect,etre capable,avocat librement capable,directive_2013_48_eu_en.txt,-,-,avocat
ils,faire,droit renonce,directive_2013_48_eu_en.txt,-,-,renne
suspects,impliquer,des droits de l'homme,directive_2013_48_eu_en.txt,-,-,droits de lhomme
personne,etre capable,de liberte,directive_2013_48_eu_en.txt,personnel,-,-
Etats membres,permis,de liberte,directive_2013_48_eu_en.txt,-,-,-
autorites competentes,question,dans la directive,directive_2013_48_eu_en.txt,-,-,directive
video ceci,organiser,par telephone,directive_2013_48_eu_en.txt,-,-,telephone
31 Etats membres,permis,de personne,directive_2013_48_eu_en.txt,-,-,personnel
un tel questionnement,question,contre l'auto-incrimination,directive_2013_48_eu_en.txt,-,-,-
ce,porte,de personne,directive_2013_48_eu_en.txt,-,-,personnel
abus,prejudice,de defense,directive_2013_48_eu_en.txt,-,-,depense
-,6.11.2013,-,directive_2013_48_eu_en.txt,-,-,-
Action immediate,permis,avec temoins,directive_2013_48_eu_en.txt,-,-,-
un tel questionnement,question,contre l'auto-incrimination,directive_2013_48_eu_en.txt,-,-,-
ce,porte,procedure penale,directive_2013_48_eu_en.txt,-,-,procedure penale:procedure speciale
confidentialite,C est la cle,proces equitable,directive_2013_48_eu_en.txt,confidentialite,-,-
Etats membres,respect,sans derogation,directive_2013_48_eu_en.txt,-,-,-
avocat,est sans,infraction penale,directive_2013_48_eu_en.txt,avocat,-,inflation:information:infraction
activite criminelle,considere,de directive,directive_2013_48_eu_en.txt,-,-,directive
arrangements,implique,respecter la confidentialite,directive_2013_48_eu_en.txt,-,-,confidentialite
autoriser les autorites competentes,est sans,entre suspects,directive_2013_48_eu_en.txt,-,-,-
a la correspondance,est,tribunal soumis competent,directive_2013_48_eu_en.txt,correspondance,-,-
qui,etre sans,autorites competentes,directive_2013_48_eu_en.txt,-,-,-
titre v,etre sans,Securite interne,directive_2013_48_eu_en.txt,-,-,interet:internaute:securite aerienne:securite alimentaire:securite internationale:securite routiere
a condition que cela,ont,contre personne,directive_2013_48_eu_en.txt,-,-,personnel
Etats membres,rendre pratique,de droit,directive_2013_48_eu_en.txt,-,-,-
dispositions pratiques,prejudice,de droit,directive_2013_48_eu_en.txt,-,-,-
quand cela,etre possible,dans la directive,directive_2013_48_eu_en.txt,-,-,directive
a la troisieme personne,considerer,de liberte,directive_2013_48_eu_en.txt,personnel,-,-
36 suspects,ont,les a nommes,directive_2013_48_eu_en.txt,-,-,-
Etats membres,limite,exigences imperatives,directive_2013_48_eu_en.txt,-,-,-
de telles exigences,inclure,de la criminalite,directive_2013_48_eu_en.txt,-,-,criminalite
premiers suspects,considerer,les a nommes,directive_2013_48_eu_en.txt,-,-,-
avocat,rendre pratique,declarations,directive_2013_48_eu_en.txt,avocat,-,-
avocat,indique,de l'Etat membre,directive_2013_48_eu_en.txt,avocat,-,-
ou il,inscrit dans,leurs ressortissants,directive_2013_48_eu_en.txt,-,-,ressortissant
accuse qui,confere,leurs souhaits,directive_2013_48_eu_en.txt,accise,confiserie,-
ces autorites,exerce par la diplomatie,autorites consulaires,directive_2013_48_eu_en.txt,-,diplome,-
personnes demandees,ont,Etat membre d'execution,directive_2013_48_eu_en.txt,personnel,-,-
ou rencontre,rendre pratique,entre avocat,directive_2013_48_eu_en.txt,-,-,avocat
une telle communication,etre possible,avec avocat,directive_2013_48_eu_en.txt,telecommunication,-,avocat
de telles communications,rendre pratique,prend place,directive_2013_48_eu_en.txt,-,-,-
de telles dispositions,regie par des,loi nationale,directive_2013_48_eu_en.txt,-,refugie,loi:nationalisme:nationalite
personnes demandees,impliquer,a partir duquel,directive_2013_48_eu_en.txt,personnel,-,-
ils,ensemble,derogations temporaires,directive_2013_48_eu_en.txt,-,-,-
derogations temporaires,etre proportionnel,de la procedure,directive_2013_48_eu_en.txt,-,-,-
pas de decision,assurer,pendant la phase d'essai,directive_2013_48_eu_en.txt,decision,-,-
a condition qu'ils,etre capable,de renoncer au droit,directive_2013_48_eu_en.txt,-,-,-
conditions particulieres,pris dans,leur age,directive_2013_48_eu_en.txt,-,-,-
il,indique,de l'Etat membre,directive_2013_48_eu_en.txt,-,-,-
Etats membres,mener a,fardeau administratif,directive_2013_48_eu_en.txt,-,-,-
quand c'est bon,etre necessaire,pendant la periode,directive_2013_48_eu_en.txt,-,-,-
-,personnes assujetties,mandat d'arret europeen,directive_2013_48_eu_en.txt,-,personnel,mandat:mandat darret europeen
